HALLMARK_INFLAMMATORY_RESPONSE	FRIDMAN_SENESCENCE_DN	FRIDMAN_SENESCENCE_UP	CHICAS_RB1_TARGETS_SENESCENT	Senescence_UP	Senescence_DOWN	SASP	SASP_2	Tasdemir_et_al_Senescence_signature	Custom_SASP_Chibaya_et_al_mouse
Abca1	Aldh1a1	Aldh1a3	1700057G04Rik	AA467197	4921507P07Rik	Ang	Acvrl1	Adamts15	Acvrl1
Abi1	Aldh1a7	Aopep	Abhd3	Abca13	Abat	Ang2	Atf3	Adgra2	Atf3
Acvr1b	Bmi1	Ccn2	Abi2	Abca3	Adamts15	Ang4	B2m	Ano1	B2m
Acvr2a	Ccn4	Ccnd1	Acadm	Abcg1	Adamtsl1	Ang5	Birc2	Apcdd1	Birc2
Adgre1	Ccnb1	Cd44	Acbd3	Ackr3	Adgra2	Ang6	Ccl2	Areg	Ccl2
Adm	Cdc25b	Cdkn1a	Ackr3	Acod1	Adhfe1	Areg	Ccl20	Arhgap25	Ccl20
Adora2b	Col3a1	Cdkn1c	Acot7	Actbl2	Ankrd33b	Ccl11	Cd40	Arhgap28	Ccl3
Adrm1	E2f4	Cdkn2b	Actg2	Adamts18	Ano1	Ccl12	Csf1	Atp6v0d2	Ccl4
Ahr	Egr1	Cdkn2d	Acyp1	Angptl4	Apcdd1	Ccl2	Cx3cl1	B3galt2	Ccl5
Aplnr	Id1	Cited2	Add3	Apod	Arhgap20	Ccl20	Cxcl10	Bcl2a1a	Ccl7
Aqp9	Lama1	Cltb	Aggf1	Areg	Asap3	Ccl3	Cxcl11	Bcl2a1b	Ccl8
Atp2a2	Ldb2	Col1a2	Akap12	Arhgap25	Asf1b	Ccl7	Dnajb4	Bcl2a1c	Cd40
Atp2b1	Marcks	Creg1	Aldh1a3	Asb2	Aspm	Ccl8	Fosl2	Bcl2a1d	Csf1
Atp2c1	NA	Cryab	Aldh7a1	Atp6v0d2	Atp10a	Ccn2	Gadd45a	Bex1	Cst3
Axl	NA	Cxcl14	Ankrd9	Bcl2a1a	Bard1	Col1a1	Gm20489	Bex2	Cx3cl1
Bdkrb1	NA	Cyp1b1	Anp32b	Bcl2a1b	Birc5	Col2a1	Ifit2	Bmp2	Cxcl1
Best1	NA	Eif2s2	Anpep	Bcl2a1c	Bst1	Col3a1	Ifit3	Cbln2	Cxcl10
Bst2	NA	Esm1	Areg	Bcl2a1d	Bub1b	Col4a1	Ifit3b	Ccl20	Cxcl11
Btg2	NA	F3	Arl6ip6	Bean1	Cand2	Col5a1	Ifnar1	Cdca7	Cxcl2
C3ar1	NA	Filip1l	Armcx2	Bex1	Car11	Csf2rb	Ifnb1	Cdcp1	Cxcl5
C5ar1	NA	Fn1	Arntl2	Bex2	Ccna2	Csf2rb2	Ifngr1	Cdk15	Dnajb4
Calcrl	NA	Gm4907	Atp1b1	Bmp2	Ccne2	Csf3r	Igfbp7	Cdkn2c	Fgf2
Ccl17	NA	Gm4985	Atrx	Cbln2	Cd302	Ctsb	Il12a	Cemip	Fosl2
Ccl20	NA	Gsn	AW551984	Ccl20	Cdc25c	Cxcl11	Il12b	Ces1b	Gadd45a
Ccl22	NA	Guk1	Baalc	Ccrl2	Cdca3	Cxcl12	Il15	Ces1c	Gm11127
Ccl24	NA	Hbs1l	Bbs2	Cd69	Cdca7	Cxcl13	Il15ra	Ces1d	Gm7030
Ccl5	NA	Hps5	Bbx	Cdcp1	Cdh18	Cxcr2	Il18	Ces1g	H2-M1
Ccl7	NA	Hspa2	Bdkrb2	Cdkn2b	Cdk1	Egf	Il1r1	Ces1h	H2-M10.1
Ccr7	NA	Htatip2	Bean1	Ceacam15	Cdk15	Egfr	Il2rg	Chrdl2	H2-M10.2
Ccrl2	NA	Ifng	Bex1	Ceacam9	Cdkn2c	Ereg	Il6	Chrm2	H2-M10.3
Cd14	NA	Igfbp1	Bex2	Ces1b	Cdkn3	Fas	Il7r	Clec3b	H2-M10.4
Cd40	NA	Igfbp2	Bgn	Ces1c	Cemip	Fgf2	Irf1	Clstn1	H2-M10.5
Cd48	NA	Igfbp3	Birc3	Ces1d	Cenpa	Fgf7	Isg15	Col14a1	H2-M10.6
Cd55	NA	Igfbp4	Brd3os	Ces1g	Cenpm	Fn1	Kdm6b	Col15a1	H2-M11
Cd55b	NA	Igfbp5	Bri3bp	Ces1h	Chaf1b	Hgf	Klf6	Col3a1	H2-M9
Cd69	NA	Igfbp6	Btbd11	Chst11	Chl1	Icam1	Mx1	Corin	H2-T24
Cd70	NA	Igfbp7	Btg3	Chst2	Chrm2	Icam5	Mx2	Cpxm1	
Cd82	NA	Igsf3	C3	Cldn14	Cldn11	Ifng	Nampt	Cryab	Ifit2
Cdkn1a	NA	Ing1	Cacybp	Clstn1	Clec14a	Igfbp2	Nfe2l2	Csdc2	Ifit3
Chst2	NA	Irf5	Camk2n2	Csf2	Clec3b	Igfbp3	Nfkb2	Csf2	Ifit3b
Clec5a	NA	Irf7	Camta1	Csf3	Clspn	Igfbp4	Ninj1	Csf3	Ifnar1
Cmklr1	NA	Isg15	Casp8ap2	Ctss	Cnn1	Igfbp6	Plau	Ctss	Ifnb1
Csf1	NA	Map1lc3b	Cbr3	Cxcl5	Col11a1	Igfbp7	Pnrc1	Cxcl12	Ifngr1
Csf3	NA	Map2k3	Cbx5	Cxcr4	Col15a1	Il13	Psen1	Cxcl5	Igfbp5
Csf3r	NA	Mdm2	Ccdc71l	Cyp26b1	Col3a1	Il15	Pvr	Cxcr4	Igfbp7
Cx3cl1	NA	Ndn	Ccl20	Cyp3a11	Col9a2	Il1a	Rcan1	Cyp26b1	Il12b
Cxcl10	NA	Nme2	Ccl3	Cyp3a13	Corin	Il1b	Sat1	Cyp3a11	Il12a
Cxcl11	NA	Nrg1	Ccnb1ip1	Cyp3a16	Cpxm1	Il6	Serpine1	Cyp3a13	Il15
Cxcl9	NA	Optn	Ccne1	Cyp3a25	Cryab	Il6st	Sqstm1	Cyp3a16	Il15ra
Cxcr6	NA	Rab13	Ccne2	Cyp3a41a	Csdc2	Il7	Stat1	Cyp3a25	Il18
Cybb	NA	Rab31	Cd274	Cyp3a41b	Csrp2	Lama1	Stat3	Cyp3a41a	Il1a
Dcbld2	NA	Rab5b	Cd69	Cyp3a44	Cxcl12	Lamb1	Tap1	Cyp3a41b	Il1b
Ebi3	NA	Rabggta	Cd82	Cyp3a57	Daam2	Lamc1	Tapbp	Cyp3a44	Il1r1
Edn1	NA	Rac1	Cdc25a	Cyp3a59	Dab1	Mif	Tgfbr2	Cyp3a57	Il2rg
Eif2ak2	NA	Rbl2	Cdc42bpa	Dcstamp	Dcn	Mmp10	Tnfaip2	Cyp3a59	Il6
Emp3	NA	Rgl2	Cdc6	Dgat2	Depdc1b	Mmp12	Tnfaip3	Daam2	Il7r
Ereg	NA	Rhob	Cdc7	Dner	Depp1	Mmp13	Tnfrsf12a	Dcn	Irf1
F3	NA	Rras	Cdca7	Dusp4	Des	Mmp14	Tnfrsf9	Dcstamp	Irf3
Ffar2	NA	S100a11	Cdca7l	Ehf	Dlgap5	Mmp3	Ulbp1	Depp1	Irf7
Fpr1	NA	Serpinb2	Cdk2	Ereg	Dnajc22	Mmp7	Xaf1	Dgat2	Irf8
Fzd5	NA	Serpine1	Cdk5rap2	Esm1	Dtl	Mmp9	NA	Dusp4	Isg15
Gabbr1	NA	Smpd1	Cdt1	Fer1l6	Efemp1	Nfkb1	NA	Efemp1	Kdm6b
Gch1	NA	Smurf2	Cebpz	Folr2	Efnb3	Ngf	NA	Ehf	Klf6
Gm9774	NA	Sod1	Cemip	Foxq1	Eln	Nrg1	NA	Eln	Mif
Gna15	NA	Sparc	Cenpk	Fzd8	Elovl2	Pigf	NA	Elovl2	Mmp1a
Gnai3	NA	Stat1	Cenps	G0s2	Enpp2	Plat	NA	Ereg	Mmp1b
Gp1ba	NA	Tes	Cenpu	Gabra2	Esco2	Plau	NA	Esm1	Mmp12
Gpc3	NA	Tfap2a	Cenpv	Gda	Exo1	Plaur	NA	Fbln1	Mmp13
Gpr183	NA	Tgfb1i1	Cep19	Gdf15	F10	Ptgs2	NA	Fbln2	Mmp14
Has2	NA	Thbs1	Cep57	Gjb2	Fam162b	Serpinb2	NA	Fer1l6	Mmp3
Hbegf	NA	Tnfaip2	Cers6	Gm29094	Fam83d	Serpine1	NA	Fes	Mmp7
Hif1a	NA	Tnfaip3	Chst2	Gm38393	Fancd2	Timp1	NA	Fndc5	Mmp9
Hpn	NA	Tspyl5	Cisd2	Gpr183	Fbln1	Timp2	NA	Foxq1	Mx1
Hrh1	NA	Vim	Cklf	Gpr68	Fbln2	Tnfrsf11b	NA	Frzb	Nampt
Icam1	NA	NA	Cldn5	Grip1	Fes	Tnfrsf1a	NA	Fzd2	Nfe2l2
Icam4	NA	NA	Clgn	Hephl1	Fgl2	Tnfrsf1b	NA	G0s2	Nfkb1
Ifitm1	NA	NA	Clip1	Hes2	Flt3l	Tnfsf11	NA	Gabra2	Nfkb2
Ifitm2	NA	NA	Cnrip1	Hpse	Foxm1	Vegfa	NA	Galnt15	Ninj1
Ifitm3	NA	NA	Col6a2	Icam1	Frzb	NA	NA	Gdf15	Plau
Ifitm6	NA	NA	Commd4	Il13ra2	Fzd2	NA	NA	Gfra1	Pnrc1
Ifitm7	NA	NA	Cpne2	Il1a	Fzd7	NA	NA	Gjb2	Psen1
Ifnar1	NA	NA	Crip1	Il1b	Galnt15	NA	NA	Gm29094	Pvr
Ifngr2	NA	NA	Csf2	Il1f5	Gas1	NA	NA	Gpr68	Raet1b
Il10	NA	NA	Csf3	Il1rn	Gbp2	NA	NA	Gucy1b1	Rcan1
Il10ra	NA	NA	Cstf3	Il24	Gbp2b	NA	NA	Il13ra2	Rela
Il12b	NA	NA	Ctdspl2	Il33	Gdf6	NA	NA	Il1a	Sat1
Il15	NA	NA	Cth	Il6	Gfra1	NA	NA	Il1b	Serpine1
Il15ra	NA	NA	Ctss	Islr2	Gm10037	NA	NA	Il34	Sqstm1
Il18	NA	NA	Cxcl10	Itgax	Gm26965	NA	NA	Il6	Stat1
Il18r1	NA	NA	Cxcl11	Kcnj15	Gm28041	NA	NA	Impa2	Stat3
Il18rap	NA	NA	Cyb5a	Kif21b	Gm44596	NA	NA	Itgax	Tap1
Il1a	NA	NA	Cyb5r2	Kynu	Gm49384	NA	NA	Itgbl1	Tapbp
Il1b	NA	NA	Cybrd1	Lamc2	Grem2	NA	NA	Kcnj15	Tgfb1
Il1r1	NA	NA	Cygb	Laptm5	Gria4	NA	NA	Kirrel3	Tgfb2
Il2rb	NA	NA	Cyp26b1	Lcp1	H2-DMa	NA	NA	Kit	Tgfbr2
Il6	NA	NA	Dcbld1	Lipg	Hmgb2	NA	NA	Krt19	Timp1
Il7r	NA	NA	Dck	Lonrf3	Hmmr	NA	NA	Lbh	Timp2
Inhba	NA	NA	Ddb2	Mctp1	Hoxa6	NA	NA	Lmnb1	Tnfaip2
Irak2	NA	NA	Ddit4	Medag	Hr	NA	NA	Lmo7	Tnfaip3
Irf1	NA	NA	Ddx24	Mme	Hspa2	NA	NA	Lmod1	Tnfrsf10b
Irf7	NA	NA	Ddx60	Mmp10	Htr2b	NA	NA	Luzp2	Tnfrsf12a
Itga5	NA	NA	Dek	Mmp1a	Hunk	NA	NA	Mab21l2	Tnfrsf9
Itgb3	NA	NA	Dera	Mmp1b	Id2	NA	NA	Matn2	ulbp1
Itgb8	NA	NA	Dgat2	Mmp3	Ifitm1	NA	NA	Mctp1	ulbp2
Kcna3	NA	NA	Dhfr	Mmp9	Ifitm2	NA	NA	Megf6	Vegfa
Kcnj2	NA	NA	Dio2	Mrgpra1	Ifitm3	NA	NA	Mest	Xaf1
Kcnmb2	NA	NA	Dip2c	Mrgpra2a	Ifitm6	NA	NA	Mfap4	NA
Kif1b	NA	NA	Dnajc1	Mrgpra2b	Ifitm7	NA	NA	Mgarp	NA
Klf6	NA	NA	Dnajc18	Mrgpra3	Impa2	NA	NA	Mmp10	NA
Lck	NA	NA	Dnm1	Mrgpra4	Iqgap3	NA	NA	Mmp3	NA
Lcp2	NA	NA	Donson	Mrgpra6	Itgbl1	NA	NA	Mn1	NA
Ldlr	NA	NA	Dpysl3	Mrgpra9	Kazald1	NA	NA	Mrgpra1	NA
Lif	NA	NA	Dsn1	Mrgprb1	Kcnd1	NA	NA	Mrgpra2a	NA
Lpar1	NA	NA	Dtl	Mrgprb2	Kcnj8	NA	NA	Mrgpra2b	NA
Lta	NA	NA	Dtx3l	Mrgprb3	Kcnk2	NA	NA	Mrgpra3	NA
Ly6e	NA	NA	Dusp5	Mrgprb4	Kif11	NA	NA	Mrgpra4	NA
Lyn	NA	NA	Dut	Mrgprb5	Kif15	NA	NA	Mrgpra6	NA
Marco	NA	NA	Dync1h1	Mrgprb8	Kif18b	NA	NA	Mrgpra9	NA
Mefv	NA	NA	Ednra	Mrgprx1	Kif20a	NA	NA	Mrgprb1	NA
Met	NA	NA	Efs	Mrgprx2	Kif2c	NA	NA	Mrgprb2	NA
Mmp14	NA	NA	Egr3	Myct1	Kirrel3	NA	NA	Mrgprb3	NA
Msr1	NA	NA	Ehf	Myo1d	Kit	NA	NA	Mrgprb4	NA
Mxd1	NA	NA	Eif4ebp1	Nampt	Klhl13	NA	NA	Mrgprb5	NA
Myc	NA	NA	Emp1	Ndp	Krt19	NA	NA	Mrgprb8	NA
Nampt	NA	NA	Emp2	Nkain1	Lbh	NA	NA	Mrgprx1	NA
Ndp	NA	NA	Enc1	Nppc	Lin7a	NA	NA	Mrgprx2	NA
Nfkb1	NA	NA	Eno2	Nrros	Lmnb1	NA	NA	Myo1d	NA
Nfkbia	NA	NA	Ercc1	Olah	Lmo7	NA	NA	Ndp	NA
Nlrp3	NA	NA	Ergic1	Olfr26	Lmod1	NA	NA	Neurl1b	NA
Nmi	NA	NA	Esm1	Olfr930	Lrrcc1	NA	NA	Npr3	NA
Nmur1	NA	NA	Exosc8	Olfr933	Lsamp	NA	NA	Nrep	NA
Nod2	NA	NA	Ezh2	Otub2	Luzp2	NA	NA	Olah	NA
Npffr2	NA	NA	Fads1	Pappa2	Lzts1	NA	NA	Olfml2a	NA
Olr1	NA	NA	Faf2	Phf24	Mab21l2	NA	NA	Olr1	NA
Oprk1	NA	NA	Fah	Pik3cg	Mamdc2	NA	NA	Oxtr	NA
Osm	NA	NA	Fam114a1	Plek2	Man1c1	NA	NA	Pbx1	NA
Osmr	NA	NA	Fam129a	Podxl	Map2k6	NA	NA	Pde5a	NA
P2rx4	NA	NA	Fancg	Pou2f2	Matn2	NA	NA	Pdgfd	NA
P2rx7	NA	NA	Fanci	Ppbp	Mboat1	NA	NA	Pgm5	NA
P2ry2	NA	NA	Fancl	Prex1	Mcm10	NA	NA	Pkdcc	NA
Pcdh7	NA	NA	Fbl	Prss22	Megf6	NA	NA	Podn	NA
Pde4b	NA	NA	Fbxo11	Ptgs2	Mest	NA	NA	Prrx2	NA
Pdpn	NA	NA	Fbxo21	Ptpn22	Methig1	NA	NA	Prss12	NA
Pik3r5	NA	NA	Fbxo45	Ptpre	Mettl7a1	NA	NA	Prss35	NA
Plaur	NA	NA	Fen1	Qpct	Mettl7a2	NA	NA	Ptger2	NA
Prok2	NA	NA	Fermt1	Rap1gap	Mettl7a3	NA	NA	Ptgs2	NA
Psen1	NA	NA	Fez1	Rhcg	Mgarp	NA	NA	Ptn	NA
Ptafr	NA	NA	Fkbp11	Robo4	Mki67	NA	NA	Ramp1	NA
Ptger2	NA	NA	Flt1	Sbpl	Mnd1	NA	NA	Ramp2	NA
Ptger4	NA	NA	Fmc1	Scg5	Mybl2	NA	NA	Ror2	NA
Ptgir	NA	NA	Foxq1	Serpina1a	Nacad	NA	NA	Samd11	NA
Ptpre	NA	NA	Frmd4a	Serpina1b	Ndc80	NA	NA	Serpina9	NA
Pvr	NA	NA	Fut8	Serpina1c	Nedd9	NA	NA	Serpinb2	NA
Raf1	NA	NA	Fzd1	Serpina1d	Neil3	NA	NA	Slc16a6	NA
Rasgrp1	NA	NA	G0s2	Serpina1e	Neurl1b	NA	NA	Slc40a1	NA
Rela	NA	NA	Gabrb1	Serpina9	Nlgn1	NA	NA	Slc6a15	NA
